dataset,HNs,HEs,pins,avgHEsize,sdHEsize,sd/avg,minHEsize,maxHEsize,avgHNdegree,sdHNdegree,minHnDegree,maxHnDegree,best_matching_pattern,best_merging_pattern,best_construction_pattern
sat_MD5-30-5_p,8905,68103,266105,3.90739,0.9772,0.250090214,1,6,29.8827,28.5143,4,100,P3,P1,P3
sat_min_d,746444,249327,1741700,6.98561,17.7327,2.538461208,1,522,2.33333,0.471409,1,3,P3,P3,P2
sat_min,498653,746444,1741700,2.33333,0.471409,0.202032717,1,3,3.49281,8.88043,1,261,P3,P1,P3
sat_min_p,249327,746444,1741700,2.33333,0.471409,0.202032717,1,3,6.98561,17.7327,1,522,P1,P1,P3
sat_p30_d,1643601,324116,3909191,12.0611,21.9294,1.818192371,2,217,2.37843,4.09866,1,63,P3,P1,P3
sat_p30,643132,1643601,3909191,2.37843,4.09866,1.723262825,1,63,6.07836,11.7072,1,128,P3,P1,P3
sat_p30_p,324116,1643601,3909191,2.37843,4.09866,1.723262825,1,63,12.0611,21.9294,2,217,P1,P1,P3
sat_p30_NOT_d,483561,95456,1149911,12.0465,21.7815,1.808118541,2,217,2.37801,4.0981,1,63,P3,P3,P3
sat_p30_NOT,189412,483561,1149911,2.37801,4.0981,1.723331693,1,63,6.07095,11.6503,1,128,P3,P1,P2
sat_p30_NOT_p,95456,483561,1149911,2.37801,4.0981,1.723331693,1,63,12.0465,21.7815,2,217,P3,P1,P2
sat_non_p30_d,1643601,324116,3909191,12.0611,21.9294,1.818192371,2,217,2.37843,4.09866,1,63,P3,P1,P3
sat_non_p30,643132,1643601,3909191,2.37843,4.09866,1.723262825,1,63,6.07836,11.7072,1,128,P1,P1,P3
sat_non_p30_p,324116,1643601,3909191,2.37843,4.09866,1.723262825,1,63,12.0611,21.9294,2,217,P1,P1,P3
sat_post_d,1607567,276895,4321960,15.6087,62.7687,4.021391916,1,1548,2.68851,3.01305,1,184,P3,P3,P2
sat_post,553559,1607567,4321960,2.68851,3.01305,1.120713704,1,184,7.80759,31.6079,1,774,P1,P1,P3
sat_post_p,276895,1607567,4321960,2.68851,3.01305,1.120713704,1,184,15.6087,62.7687,1,1548,P3,P1,P2
sat_post-ee_d,1575975,266199,4240496,15.9298,63.6202,3.993785233,1,1548,2.69071,3.03459,1,33,P3,P3,P2
sat_post-ee,532170,1575975,4240496,2.69071,3.03459,1.127802699,1,33,7.96831,32.0389,1,774,P1,P1,P3
sat_post-ee_p,266199,1575975,4240496,2.69071,3.03459,1.127802699,1,33,15.9298,63.6202,1,1548,P1,P1,P3
sat_L100_d,1522583,315617,4407119,13.9635,267.242,19.13861138,2,57423,2.8945,0.788549,1,11,P3,P3,P2b
sat_L100,631234,1522583,4407119,2.8945,0.788549,0.272430126,1,11,6.98175,140.405,1,38277,P3,P1,P3
sat_L100_p,315617,1522583,4407119,2.8945,0.788549,0.272430126,1,11,13.9635,267.242,2,57423,P3,P1,P3
sat_L150_d,2456708,486992,7147094,14.676,322.672,21.98637231,2,86223,2.90922,0.761234,1,11,P3,P3,P2b
sat_L150,973984,2456708,7147094,2.90922,0.761234,0.261662576,1,11,7.338,169.506,1,57477,P3,P1,P3
sat_L150_p,486992,2456708,7147094,2.90922,0.761234,0.261662576,1,11,14.676,322.672,2,86223,P1,P1,P3
sat_L200_d,3513333,670867,10259569,15.293,366.829,23.98672595,2,115023,2.92018,0.737634,1,11,P3,P3,P2b
sat_L200,1341734,3513333,10259569,2.92018,0.737634,0.252598812,1,11,7.6465,192.691,1,76677,P3,P1,P3
