id,dataset,part2_cut,part2_time,part3_cut,part3_time,part4_cut,part4_time,
189,sat_p30_p,4279,0.722,8559,0.828,17103,0.896,
190,sat_p30_NOT_d,185,0.432,1264,0.610,1928,0.657,
191,sat_p30_NOT,3479,0.331,6946,0.428,10421,0.479,
192,sat_p30_NOT_p,4279,0.264,10626,0.402,17521,0.464,
193,sat_non_p30_d,188,1.135,374,1.310,568,1.379,
194,sat_non_p30,3334,0.997,6857,1.086,10091,1.106,
195,sat_non_p30_p,4279,0.739,8559,0.824,17103,0.889,
196,sat_post_d,374,1.263,504,1.292,770,1.307,
197,sat_post,1270,0.889,1581,0.921,1533,0.938,
198,sat_post_p,1322,0.639,1955,0.664,4284,0.688,
199,sat_post-ee_d,306,1.236,426,1.255,611,1.272,
200,sat_post-ee,879,0.855,1897,0.892,1731,0.901,
201,sat_post-ee_p,1339,0.622,2277,0.658,2827,0.663,
202,sat_L100_d,369,2.161,1418,2.552,1917,2.359,
203,sat_L100,85155,4.342,123531,6.417,164661,6.188,
204,sat_L100_p,98374,2.581,146594,2.724,165217,3.589,
205,sat_L150_d,375,4.662,2666,4.918,2769,4.937,
206,sat_L150,140586,5.942,203468,7.181,254458,8.012,
207,sat_L150_p,152861,4.325,193735,5.722,257244,5.837,
208,sat_L200_d,335,6.373,3511,6.767,3553,6.804,
209,sat_L200,196792,8.642,248655,12.258,327701,11.288,
210,sat_L200_p,158317,6.758,267443,9.750,342898,9.277,
