id,dataset,k=2,k=3,k=4,
210,sat_L200_p,8.638,9.013,13.368,
211,sat_L80_d,0.987,2.238,1.68,
212,sat_L80,1.703,2.571,3.731,
213,sat_L80_p,1.576,2.367,3.471,
214,sat_k100_1d,4.701,7.743,10.845,
215,sat_k100_1,7.691,12.507,15.258,
216,sat_k100_1p,6.566,10.162,14.014,
217,sat_k100_2d,4.696,7.658,9.245,
218,sat_k100_2,7.729,11.971,15.262,
219,sat_k100_2p,6.377,10.471,12.593,
220,sat_k70_d,3.229,5.072,6.708,
221,sat_k70,5.377,8.931,10.661,
222,sat_k70_p,4.38,7.046,9.629,
223,sat_k75_d,3.462,5.508,6.842,
224,sat_k75,5.727,9.501,11.378,
225,sat_k75_p,4.728,7.368,9.386,
226,sat_k80_d,3.687,5.632,7.34,
227,sat_k80,6.218,9.831,12.211,
228,sat_k80_p,5.015,8.2,10.135,
229,sat_k85_2d,3.961,6.367,7.822,
230,sat_k85_2,6.561,10.092,12.937,
231,sat_k85_2p,5.288,8.85,10.534,
232,sat_k85_3d,3.968,6.375,7.836,
233,sat_k85_3,6.564,10.111,12.942,
234,sat_k85_3p,5.29,8.854,10.57,
235,sat_k90_d,4.206,6.799,8.273,
236,sat_k90,6.921,11.168,13.739,
