id,dataset,k=2,k=3,k=4,
215,sat_k100_1,2.626,4.776,5.989,
216,sat_k100_1p,2.564,3.818,6.78,
217,sat_k100_2d,1.308,2.267,3.118,
218,sat_k100_2,2.638,4.465,6.038,
219,sat_k100_2p,2.176,3.971,5.002,
220,sat_k70_d,0.88,1.582,2.584,
221,sat_k70,1.952,3.556,4.333,
222,sat_k70_p,1.495,2.69,4.823,
223,sat_k75_d,0.941,1.67,2.277,
224,sat_k75,2.019,3.649,4.575,
225,sat_k75_p,1.63,2.787,3.766,
226,sat_k80_d,0.995,1.791,2.479,
227,sat_k80,2.197,3.756,4.863,
228,sat_k80_p,1.724,3.16,4.101,
229,sat_k85_2d,1.07,1.998,2.581,
230,sat_k85_2,2.274,3.851,5.167,
231,sat_k85_2p,1.8,3.327,4.212,
232,sat_k85_3d,1.074,1.965,2.624,
233,sat_k85_3,2.305,3.87,5.149,
234,sat_k85_3p,1.791,3.313,4.21,
235,sat_k90_d,1.157,2.142,2.777,
236,sat_k90,2.37,4.212,5.428,
237,sat_k90_p,1.928,3.552,4.645,
238,sat_k95_d,1.194,2.282,5.061,
239,sat_k95,2.541,4.356,6.15,
240,sat_k95_p,2.026,3.85,4.747,
241,sat_slp_d,0.13,0.258,0.302,
242,sat_slp,0.286,0.723,0.701,
243,sat_slp_p,0.496,0.42,1.015,
244,sat_030_d,0.593,0.831,1.222,
245,sat_030,1.719,3.854,3.469,
246,sat_030_p,2.235,3.081,4.667,
247,sat_050_d,0.741,1.257,2.49,
248,sat_050,2.324,5.075,6.284,
249,sat_050_p,1.828,4.208,4.84,
250,sat_UCG-10p0_d,0.214,0.549,0.689,
251,sat_UCG-10p0,0.54,0.85,1.093,
252,sat_UCG-10p0_p,0.581,0.891,1.086,
253,sat_UCG-10p1_d,0.202,0.46,0.824,
254,sat_UCG-10p1,0.519,0.722,1.102,
255,sat_UCG-10p1_p,0.494,1.002,1.027,
256,sat_UCG-5p0_d,0.243,0.394,0.776,
257,sat_UCG-5p0,0.758,1.192,1.359,
258,sat_UCG-5p0_p,0.719,1.09,1.316,
259,sat_UR-15_d,0.216,0.386,0.508,
260,sat_UR-15,0.621,1.352,1.189,
261,sat_UR-15_p,0.741,1.115,1.348,
262,sat_UR-20_d,0.251,0.459,0.703,
263,sat_UR-20,0.795,1.182,1.632,
264,sat_UR-20_p,0.834,1.388,1.56,
265,sat_UTI_d,0.353,0.587,0.817,
266,sat_UTI,0.579,1.005,1.325,
267,sat_UTI_p,0.593,0.966,1.342,
268,sat_2.0_d,0.443,0.825,1.726,
269,sat_2.0,2.753,5.99,6.414,
270,sat_2.0_p,2.179,3.827,4.546,
271,sat_4.0-9_d,0.442,0.609,3.403,
272,sat_4.0-9,2.436,4.377,4.036,
273,sat_4.0-9_p,2.213,3.491,4.74,
274,192bit,0.109,0.069,0.125,
275,2cubes,0.114,0.222,0.236,
