id,dataset,hedges,k=2_cut,k=3_cut,k=4_cut,k=2_perf,k=3_perf,k=4_perf
294,bibd,1176,1003,1825,2596,0.00259887,0.0104024,0.0114812
295,bips,15066,75,388,326,0.00313701,0.00328983,0.00682799
296,bloweya,30004,5038,8016,8742,0.0101778,0.0203106,0.0235557
297,bundle,10581,1253,2766,4598,0.00334883,0.00708138,0.0102184
298,c-55,32780,4465,8387,9438,0.00641921,0.0125552,0.029618
299,c-61,43618,2754,5022,5384,0.0101813,0.0193418,0.0211339
300,c-64,51035,1194,7859,12347,0.0235075,0.0391317,0.0479887
301,CondMat,23133,5157,10105,12714,0.00701331,0.0120524,0.012525
302,cage10,11397,2491,5405,6838,0.00462439,0.00729456,0.0116243
303,ccc,49152,109,3192,7479,0.0038834,0.00951287,0.0150181
304,cfd,70656,2316,4340,7067,0.00960027,0.0191438,0.0216983
305,Chem97Zt,2541,35,72,75,0.00316049,0.00432911,0.0062796
306,circuit,12127,1349,2522,4290,0.0127743,0.0248697,0.0272426
307,ckt,49702,186,623,987,0.0105184,0.017283,0.0265433
308,cnr,247501,51,229,1391,0.00877645,0.0154268,0.0226562
309,conf5_4,49152,0,9987,16110,0.00351132,0.0148268,0.0109379
310,copter,17222,1100,4151,2984,0.00414247,0.0103354,0.0173344
311,coupled,11341,2105,3926,4710,0.0079265,0.0161685,0.0215623
312,crash,160000,2634,4770,8300,0.00880871,0.0137102,0.0267047
313,cryg,10000,224,492,870,0.00493475,0.00774659,0.0130311
314,crystk,13965,1139,2567,4148,0.00352835,0.00921146,0.0146262
315,d_pretok,182730,3206,11488,13140,0.0053592,0.0115237,0.0170944
316,dac11,935731,2237,6221,7249,0.0187127,0.0349005,0.0559696
317,dac14,619815,6315,11068,19344,0.0339764,0.0435818,0.0711917
318,dac16,697458,11067,17525,20960,0.0223373,0.0375625,0.0401279
319,dac2,990899,6328,15570,16780,0.027238,0.0515934,0.0822535
320,dac3,898001,3372,11683,18277,0.0219716,0.0311083,0.0534384
321,dac6,1006629,5739,8176,18772,0.0353494,0.0675692,0.0730049
322,dac7,1340418,2665,5407,12140,0.0230027,0.0547636,0.0735535
323,delta,68600,675,6575,5622,0.00558274,0.0117536,0.0179734
324,denormal,89400,1272,2874,3499,0.00656923,0.0126157,0.0167639
325,dict,39327,0,962,3192,0.00475831,0.0396066,0.0330489
326,diel,607232,13224,8766,34662,0.0240266,0.0375065,0.0490199
327,cova2,65025,1171,3272,3549,0.00719172,0.0158025,0.0165301
328,ecl32,51993,1953,4502,6238,0.0274749,0.0453439,0.0615307
329,Emilia,923136,27009,69285,84297,0.047473,0.0798855,0.114808
330,epb1,14734,231,546,719,0.00389496,0.00738604,0.0133858
331,ESOC,327062,168815,315574,417563,0.0247147,0.0367388,0.0484185
332,Eternity,7362,1058,1866,3145,0.00599016,0.0096487,0.0464893
333,ex19,12005,0,243,360,0.00200803,0.00630715,0.006245
334,F2,71505,1116,7652,5804,0.00643987,0.0139728,0.0185299
335,fd18,16428,165,451,797,0.0107632,0.0143964,0.0269864
336,fem,74062,3698,7783,12291,0.00794013,0.0211731,0.0203201
337,finan,74752,156,508,708,0.00536688,0.00953597,0.015594
338,flower,27693,4799,9782,11898,0.00500336,0.0099308,0.0124359
339,foldoc,13356,7038,12976,16761,0.00651238,0.0130348,0.0199004
340,Franz,47104,23895,52930,54393,0.00582827,0.0155912,0.013588
341,G2,150102,791,1517,2252,0.0067911,0.0129854,0.0183778
342,g7jac,11790,824,2105,2409,0.00714004,0.00988836,0.0119664
343,garon,13535,812,1297,2270,0.00233633,0.00627808,0.0072895
344,gearbox,153746,1723,5998,7957,0.00657829,0.0180558,0.0279616
345,gemat,4929,71,224,365,0.0036057,0.00603469,0.00588527
346,graphics,29493,558,1566,1518,0.00251439,0.01117,0.00793835
347,gyro,17361,321,426,1032,0.00237216,0.00429002,0.0109764
348,H2O,67024,13952,31117,41698,0.00840737,0.0146009,0.0236264
349,HEP,24541,4704,11993,15298,0.0090791,0.0300554,0.0179756
350,HTC,226340,1983,8542,16291,0.0118438,0.0208417,0.0262449
351,hvdc1,24842,113,285,477,0.003973,0.00695283,0.0103205
352,IG5,30162,0,15302,14674,0.00550486,0.0281981,0.0
353,Ill,20896,1312,2424,3316,0.00405515,0.0091648,0.0216864
354,interp,232485,946,2264,2807,0.0062139,0.0134346,0.0153174
355,IMDB,303617,28488,73677,71961,0.0455972,0.374479,0.064673
356,ibm01,14111,317,643,987,0.00705329,0.008565,0.0125939
357,ibm02,19584,401,960,1652,0.00489953,0.0103005,0.0139206
358,ibm03,27401,1430,2269,3561,0.00450529,0.0184667,0.0207322
359,ibm04,31970,597,1458,2418,0.00501062,0.0112168,0.0331326
360,ibm05,28446,2397,6629,6001,0.00827494,0.020506,0.0328612
